user_id,total_actions,unique_resources,unique_computers,unique_ips,days_active,actions_per_day,after_hours_ratio,weekend_ratio,hour_entropy,read_ratio,write_ratio,delete_ratio,copy_ratio,failure_ratio,lateral_movement_ratio,avg_sensitivity,max_sensitivity,high_sensitivity_ratio,avg_file_size,max_file_size,total_data_mb,action_consistency,new_resource_rate,activity_change_ratio,after_hours_change,sensitivity_change,graph_degree,graph_centrality,graph_betweenness,graph_clustering,graph_avg_sensitivity,graph_max_sensitivity,graph_unique_resources,graph_avg_access_freq,graph_max_access_freq,anomaly_score,risk_level,is_anomaly
USER0004,212,91,20,5,30,7.066666666666666,0.0,0.0,0,0.5613207547169812,0.33490566037735847,0.0,0.0,0.0,0.0,1.5047169811320755,2,0.0,585.9433962264151,32467,121.30859375,0.6144186586244299,0.42924528301886794,1.0058309037900874,0.0,0.10502881089575689,60,0.273972602739726,0.009945104863653631,0,1.4644444444444447,2.0,60,3.0166666666666666,6,41.82761956863571,Medium,0
USER0015,187,88,20,5,30,6.233333333333333,0.0,0.0,0,0.5668449197860963,0.34759358288770054,0.0,0.0,0.0,0.0,1.5133689839572193,2,0.0,406.1016042780749,4386,74.1611328125,0.5958292796484335,0.47058823529411764,0.9098164405426975,0.0,-0.04980572235959024,54,0.2465753424657534,0.008100620608290983,0,1.5287037037037037,2.0,54,2.8333333333333335,5,28.388455192493375,Low,0
USER0027,200,90,20,5,30,6.666666666666667,0.0,0.0,0,0.6,0.305,0.0,0.0,0.0,0.0,1.495,2,0.0,478.555,5640,93.4677734375,0.501667302817991,0.45,0.8216136195410806,0.0,-0.07677002155529755,56,0.2557077625570776,0.009134756085196993,0,1.487797619047619,2.0,56,2.9642857142857144,5,7.722998843169706,Low,0
USER0025,212,88,20,5,30,7.066666666666666,0.0,0.0,0,0.6132075471698113,0.27358490566037735,0.0,0.0,0.0,0.0,1.4811320754716981,2,0.0,417.938679245283,5817,86.5263671875,0.5635848160277734,0.41509433962264153,1.0603829160530192,0.0,0.10518292682926833,61,0.2785388127853881,0.01074599354878187,0,1.4737704918032786,2.0,61,3.0327868852459017,5,34.776824560396456,Low,0
USER0022,210,89,20,5,30,7.0,0.0,0.0,0,0.6047619047619047,0.3142857142857143,0.0,0.0,0.0,0.0,1.4904761904761905,2,0.0,580.0190476190476,12930,118.94921875,0.592699842625486,0.4238095238095238,0.7811400422237861,0.0,0.060771754413373014,61,0.2785388127853881,0.010741525026909981,0,1.4874316939890713,2.0,61,2.9836065573770494,6,18.4673582537086,Low,0
USER0023,214,87,20,5,30,7.133333333333334,0.0,0.0,0,0.5747663551401869,0.3317757009345794,0.0,0.0,0.0,0.0,1.485981308411215,2,0.0,453.8551401869159,6059,94.8486328125,0.5546621160875507,0.40654205607476634,0.7660455486542442,0.0,-0.09741945335165658,64,0.2922374429223744,0.011238095343081204,0,1.4564732142857144,2.0,64,2.984375,7,11.341335561478296,Low,0
USER0018,188,83,20,5,30,6.266666666666667,0.0,0.0,0,0.5957446808510638,0.32978723404255317,0.0,0.0,0.0,0.0,1.446808510638298,2,0.0,355.3244680851064,5463,65.2353515625,0.440454195563481,0.44148936170212766,1.1779448621553885,0.0,0.05673758865248213,58,0.2648401826484018,0.009500798250956725,0,1.436206896551724,2.0,58,2.810344827586207,6,28.810787544381412,Low,0
USER0020,200,87,20,5,30,6.666666666666667,0.0,0.0,0,0.6,0.28,0.0,0.0,0.0,0.0,1.535,2,0.0,326.015,5417,63.6748046875,0.5207196534739138,0.435,0.7434402332361516,0.0,0.028703047484053945,66,0.3013698630136986,0.012791168421586096,0,1.5323593073593074,2.0,66,2.712121212121212,7,33.4646513113615,Low,0
USER0000,181,85,20,5,30,6.033333333333333,0.0,0.0,0,0.6132596685082873,0.287292817679558,0.0,0.0,0.0,0.0,1.569060773480663,2,0.0,499.8011049723757,12260,88.34375,0.4867819279981338,0.4696132596685083,0.9413707679603633,0.0,0.14574898785425083,50,0.228310502283105,0.0070533767626282905,0,1.59,2.0,50,2.92,6,46.60152858367686,Medium,0
USER0047,232,90,20,5,30,7.733333333333333,0.0,0.0,0,0.6077586206896551,0.30603448275862066,0.0,0.0,0.0,0.0,1.521551724137931,2,0.0,483.6810344827586,10690,109.583984375,0.5547613370571839,0.3879310344827586,0.7722007722007722,0.0,0.004166666666666652,68,0.3105022831050228,0.013152158780492272,0,1.5181372549019607,2.0,68,3.088235294117647,5,50.45062375484853,Medium,0
