timestamp,user_id,source_computer,destination_computer,resource_id,action,ip_address,auth_type,success,is_failure,file_size_kb,resource_sensitivity,is_after_hours,is_weekend,is_lateral_movement,is_anomalous_user
2025-09-11 08:01:57.615903,USER0004,COMP0001,COMP0011,FILE_00059,write,10.13.150.31,Kerberos,Success,0,45,2,0,0,0,0
2025-09-11 08:10:57.035967,USER0015,COMP0015,COMP0000,FILE_00024,read,192.168.44.131,Kerberos,Success,0,35,2,0,0,0,0
2025-09-11 08:12:56.529639,USER0027,COMP0006,COMP0009,FILE_00057,read,192.168.44.131,Kerberos,Success,0,450,2,0,0,0,0
2025-09-11 08:21:55.896460,USER0025,COMP0007,COMP0015,FILE_00057,read,10.52.122.63,Kerberos,Success,0,114,2,0,0,0,0
2025-09-11 08:25:54.774059,USER0022,COMP0004,COMP0015,FILE_00042,read,192.168.140.208,Kerberos,Success,0,320,2,0,0,0,0
2025-09-11 08:26:56.692757,USER0023,COMP0002,COMP0015,FILE_00004,read,192.168.15.65,Kerberos,Success,0,20,1,0,0,0,0
2025-09-11 08:35:56.142347,USER0018,COMP0016,COMP0019,FILE_00060,write,192.168.140.208,Kerberos,Success,0,603,1,0,0,0,0
2025-09-11 08:42:55.125166,USER0020,COMP0008,COMP0000,FILE_00075,read,192.168.140.208,Kerberos,Success,0,397,2,0,0,0,0
2025-09-11 08:53:56.986492,USER0000,COMP0019,COMP0019,FILE_00010,execute,192.168.15.65,Kerberos,Success,0,102,1,0,0,0,0
2025-09-11 08:54:56.630233,USER0047,COMP0011,COMP0010,FILE_00015,read,10.52.122.63,Kerberos,Success,0,16,2,0,0,0,0
2025-09-11 09:04:56.375200,USER0036,COMP0014,COMP0009,FILE_00004,read,192.168.15.65,Kerberos,Success,0,232,1,0,0,0,0
2025-09-11 09:06:56.101076,USER0016,COMP0015,COMP0015,FILE_00043,write,192.168.15.65,Kerberos,Success,0,920,2,0,0,0,0
2025-09-11 09:11:58.199478,USER0028,COMP0011,COMP0013,FILE_00046,read,192.168.44.131,Kerberos,Success,0,44,1,0,0,0,0
2025-09-11 09:12:58.667680,USER0019,COMP0009,COMP0008,FILE_00091,write,192.168.140.208,Kerberos,Success,0,63,1,0,0,0,0
2025-09-11 09:13:55.903435,USER0048,COMP0014,COMP0010,FILE_00099,read,192.168.15.65,Kerberos,Success,0,240,1,0,0,0,0
2025-09-11 09:25:57.903232,USER0042,COMP0000,COMP0004,FILE_00035,read,192.168.140.208,Kerberos,Success,0,236,1,0,0,0,0
2025-09-11 09:26:56.278128,USER0024,COMP0018,COMP0008,FILE_00013,read,10.52.122.63,Kerberos,Success,0,2117,1,0,0,0,0
2025-09-11 09:37:56.290288,USER0029,COMP0004,COMP0019,FILE_00070,write,192.168.44.131,Kerberos,Success,0,123,1,0,0,0,0
2025-09-11 09:38:56.926989,USER0024,COMP0007,COMP0000,FILE_00053,read,192.168.44.131,NTLM,Success,0,168,2,0,0,0,0
2025-09-11 09:39:57.583574,USER0038,COMP0011,COMP0017,FILE_00077,execute,192.168.15.65,Kerberos,Success,0,134,1,0,0,0,0
2025-09-11 09:43:56.957284,USER0029,COMP0013,COMP0003,FILE_00034,read,192.168.44.131,Kerberos,Success,0,34,2,0,0,0,0
2025-09-11 09:48:58.137437,USER0019,COMP0018,COMP0001,FILE_00071,read,10.13.150.31,NTLM,Success,0,74,2,0,0,0,0
2025-09-11 09:51:58.316068,USER0034,COMP0011,COMP0018,FILE_00080,read,10.52.122.63,Kerberos,Success,0,85,1,0,0,0,0
2025-09-11 09:57:55.686956,USER0021,COMP0015,COMP0015,FILE_00072,execute,192.168.140.208,NTLM,Success,0,71,2,0,0,0,0
2025-09-11 09:59:58.058074,USER0020,COMP0007,COMP0006,FILE_00097,read,192.168.140.208,Kerberos,Success,0,323,1,0,0,0,0
2025-09-11 10:03:56.550913,USER0034,COMP0017,COMP0018,FILE_00042,read,192.168.44.131,Kerberos,Success,0,111,2,0,0,0,0
2025-09-11 10:08:56.988061,USER0037,COMP0012,COMP0004,FILE_00062,read,10.52.122.63,Kerberos,Success,0,309,2,0,0,0,0
2025-09-11 10:13:56.562125,USER0011,COMP0019,COMP0013,FILE_00079,write,192.168.140.208,Kerberos,Success,0,4,1,0,0,0,0
2025-09-11 10:14:56.978295,USER0004,COMP0017,COMP0013,FILE_00031,read,192.168.15.65,Kerberos,Success,0,143,2,0,0,0,0
